[07/21/20 11:04:51] [INFO] received Windows console close event; shutting log-core down
[07/21/20 11:06:25] [INFO] received Windows console close event; shutting log-core down
[07/21/20 11:07:23] [INFO] received Windows console close event; shutting log-core down
[07/21/20 11:12:16] [INFO] received Windows console close event; shutting log-core down
[07/21/20 11:14:09] [INFO] received Windows console close event; shutting log-core down
[07/21/20 11:17:55] [INFO] received Windows console close event; shutting log-core down
[07/21/20 14:55:29] [INFO] received Windows console close event; shutting log-core down
[07/21/20 15:07:43] [INFO] received Windows console close event; shutting log-core down
[07/21/20 16:02:21] [INFO] received Windows console close event; shutting log-core down
[07/21/20 16:30:11] [INFO] received Windows console close event; shutting log-core down
[07/21/20 16:33:02] [INFO] received Windows console close event; shutting log-core down
[07/21/20 16:35:51] [INFO] received Windows console close event; shutting log-core down
[07/21/20 16:42:52] [INFO] received Windows console close event; shutting log-core down
[07/21/20 16:52:09] [INFO] received Windows console close event; shutting log-core down
[07/21/20 17:03:20] [INFO] received Windows console close event; shutting log-core down
[07/21/20 17:07:44] [INFO] received Windows console close event; shutting log-core down
[07/21/20 23:20:27] [INFO] received Windows console close event; shutting log-core down
[07/21/20 23:26:30] [INFO] received Windows console close event; shutting log-core down
[07/22/20 00:00:25] [INFO] received Windows console close event; shutting log-core down
[07/22/20 00:04:42] [INFO] received Windows console close event; shutting log-core down
[07/22/20 01:32:59] [INFO] received Windows console close event; shutting log-core down
[07/22/20 01:46:12] [INFO] received Windows console close event; shutting log-core down
[07/22/20 20:04:45] [INFO] received Windows console close event; shutting log-core down
[07/22/20 20:28:38] [INFO] received Windows console close event; shutting log-core down
[07/22/20 21:13:18] [INFO] received Windows console close event; shutting log-core down
[07/22/20 21:23:08] [INFO] received Windows console close event; shutting log-core down
[07/22/20 22:24:11] [INFO] received Windows console close event; shutting log-core down
[07/22/20 23:16:19] [INFO] received Windows console close event; shutting log-core down
[07/22/20 23:18:40] [INFO] received Windows console close event; shutting log-core down
[07/22/20 23:18:54] [INFO] received Windows console close event; shutting log-core down
[07/22/20 23:20:03] [INFO] received Windows console close event; shutting log-core down
[07/23/20 00:48:53] [INFO] received Windows console close event; shutting log-core down
[07/23/20 13:34:55] [INFO] received Windows console close event; shutting log-core down
[07/25/20 16:36:25] [INFO] received Windows console close event; shutting log-core down
[08/07/20 16:15:03] [INFO] received Windows console close event; shutting log-core down
[08/07/20 16:50:36] [INFO] received Windows console close event; shutting log-core down
[08/07/20 17:06:19] [INFO] received Windows console close event; shutting log-core down
[08/07/20 17:08:02] [INFO] received Windows console close event; shutting log-core down
[08/07/20 18:42:30] [INFO] received Windows console close event; shutting log-core down
[08/07/20 19:35:44] [INFO] received Windows console close event; shutting log-core down
[08/07/20 20:25:44] [INFO] received Windows console close event; shutting log-core down
[08/07/20 21:12:30] [INFO] received Windows console close event; shutting log-core down
[08/07/20 21:14:30] [INFO] received Windows console close event; shutting log-core down
[08/07/20 21:16:28] [INFO] received Windows console close event; shutting log-core down
[08/07/20 21:23:01] [INFO] received Windows console close event; shutting log-core down
[08/07/20 21:27:20] [INFO] received Windows console close event; shutting log-core down
[08/08/20 20:15:36] [INFO] received Windows console close event; shutting log-core down
[08/08/20 20:22:59] [INFO] received Windows console close event; shutting log-core down
[08/09/20 20:05:07] [INFO] received Windows console close event; shutting log-core down
[08/09/20 20:05:31] [INFO] received Windows console close event; shutting log-core down
[08/09/20 20:11:06] [INFO] received Windows console close event; shutting log-core down
[08/09/20 21:09:14] [INFO] received Windows console close event; shutting log-core down
[08/09/20 21:17:59] [INFO] received Windows console close event; shutting log-core down
[08/09/20 21:23:46] [INFO] received Windows console close event; shutting log-core down
[08/09/20 21:29:33] [INFO] received Windows console close event; shutting log-core down
[08/09/20 21:31:01] [INFO] received Windows console close event; shutting log-core down
[08/09/20 21:38:09] [INFO] received Windows console close event; shutting log-core down
[08/09/20 22:54:41] [INFO] received Windows console close event; shutting log-core down
[08/09/20 23:02:09] [INFO] received Windows console close event; shutting log-core down
